"","x"
"1",-1.11498012141653
"2",0.0111833259373166
"3",0.470818385505637
"4",0.100026237100947
"5",0.026818610374599
"6",0.0588004522606439
"7",0.0516161443508047
"8",0.0265894059173061
"9",-0.000115568965990923
"10",-0.00397503893204558
"11",-0.0037675770087286
"12",0.00175762894415407
"13",0.00209647715040722
"14",-0.00675091028157249
