"","x"
"1",0.0181678347102059
"2",0.00841803492688562
"3",0.00390525520727406
"4",0.00253003539334408
"5",0.0108494960455912
"6",0.0172630191999879
"7",0.0113144638361354
"8",0.0149071229639428
"9",0.00186318871065849
"10",0.000515740450774822
"11",0.00236027117119771
"12",0.00411993258736278
"13",0.00294076747615132
"14",0.00331617588893773
